spcode,species,replicate,LDMC (g/g),average leaf area (cm),SLA (cm/g),leaf N (%),SRL (m/g),root diam (mm)
AMRE,Amaranthus retroflexus,9,,,,,93.559,0.2606
AMRE,Amaranthus retroflexus,10,,,,,284.00625,0.1661
SOTR,Solanum triflorum,7,,,,,76.54538462,0.2868
SOTR,Solanum triflorum,8,,,,,382.2785714,0.2079
SOTR,Solanum triflorum,9,,,,,115.4252,0.2313
POOL,Portulaca oleracea,7,,,,,218.2277778,0.1913
POOL,Portulaca oleracea,8,,,,,18.5875,0.2442
CHAL,Chenopodium album,8,,,,,63.16615385,0.2234
CHAL,Chenopodium album,9,,,,,110.7338889,0.2242
CHAL,Chenopodium album,10,,,,,64.1075,0.2329
